"Ukazatel","IndicatorType","Druh PHM","CENPHM","Týdny","CASTPHM","Území","Uz0","Hodnota"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 23. týden 2022","2022-W23","Česko","CZ","45.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 24. týden 2022","2022-W24","Česko","CZ","47.33"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 25. týden 2022","2022-W25","Česko","CZ","47.83"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 26. týden 2022","2022-W26","Česko","CZ","47.82"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 27. týden 2022","2022-W27","Česko","CZ","47.89"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 28. týden 2022","2022-W28","Česko","CZ","47.63"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 29. týden 2022","2022-W29","Česko","CZ","47.18"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 30. týden 2022","2022-W30","Česko","CZ","46.16"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 31. týden 2022","2022-W31","Česko","CZ","44.85"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 32. týden 2022","2022-W32","Česko","CZ","42.81"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 33. týden 2022","2022-W33","Česko","CZ","40.81"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 34. týden 2022","2022-W34","Česko","CZ","40.31"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 35. týden 2022","2022-W35","Česko","CZ","40.53"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 36. týden 2022","2022-W36","Česko","CZ","40.46"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 37. týden 2022","2022-W37","Česko","CZ","39.21"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 38. týden 2022","2022-W38","Česko","CZ","38.53"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 39. týden 2022","2022-W39","Česko","CZ","37.76"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 40. týden 2022","2022-W40","Česko","CZ","38.23"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 41. týden 2022","2022-W41","Česko","CZ","41"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 42. týden 2022","2022-W42","Česko","CZ","42.6"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 43. týden 2022","2022-W43","Česko","CZ","42.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 44. týden 2022","2022-W44","Česko","CZ","42.45"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 45. týden 2022","2022-W45","Česko","CZ","42.05"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 46. týden 2022","2022-W46","Česko","CZ","41.75"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 47. týden 2022","2022-W47","Česko","CZ","40.86"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 48. týden 2022","2022-W48","Česko","CZ","39.81"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 49. týden 2022","2022-W49","Česko","CZ","38.57"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 50. týden 2022","2022-W50","Česko","CZ","37"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 51. týden 2022","2022-W51","Česko","CZ","36.44"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 01. týden 2023","2023-W01","Česko","CZ","36.29"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 02. týden 2023","2023-W02","Česko","CZ","36.24"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 03. týden 2023","2023-W03","Česko","CZ","36.18"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 04. týden 2023","2023-W04","Česko","CZ","36.68"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 05. týden 2023","2023-W05","Česko","CZ","37.68"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 06. týden 2023","2023-W06","Česko","CZ","37.88"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 07. týden 2023","2023-W07","Česko","CZ","37.63"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 08. týden 2023","2023-W08","Česko","CZ","37.65"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 09. týden 2023","2023-W09","Česko","CZ","37.45"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 10. týden 2023","2023-W10","Česko","CZ","37.36"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 11. týden 2023","2023-W11","Česko","CZ","37.2"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 12. týden 2023","2023-W12","Česko","CZ","37.09"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 13. týden 2023","2023-W13","Česko","CZ","36.96"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 14. týden 2023","2023-W14","Česko","CZ","37"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 15. týden 2023","2023-W15","Česko","CZ","37.55"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 16. týden 2023","2023-W16","Česko","CZ","37.83"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 17. týden 2023","2023-W17","Česko","CZ","37.45"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 18. týden 2023","2023-W18","Česko","CZ","37.26"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 19. týden 2023","2023-W19","Česko","CZ","36.77"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 20. týden 2023","2023-W20","Česko","CZ","36.46"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 21. týden 2023","2023-W21","Česko","CZ","36.37"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 22. týden 2023","2023-W22","Česko","CZ","36.44"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 23. týden 2023","2023-W23","Česko","CZ","36.74"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 24. týden 2023","2023-W24","Česko","CZ","36.83"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 25. týden 2023","2023-W25","Česko","CZ","37.12"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 26. týden 2023","2023-W26","Česko","CZ","37.25"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 27. týden 2023","2023-W27","Česko","CZ","37.27"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 28. týden 2023","2023-W28","Česko","CZ","37.25"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 29. týden 2023","2023-W29","Česko","CZ","37.26"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 30. týden 2023","2023-W30","Česko","CZ","37.29"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 31. týden 2023","2023-W31","Česko","CZ","37.99"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 32. týden 2023","2023-W32","Česko","CZ","39.14"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 33. týden 2023","2023-W33","Česko","CZ","39.36"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 34. týden 2023","2023-W34","Česko","CZ","39.4"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 35. týden 2023","2023-W35","Česko","CZ","39.6"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 36. týden 2023","2023-W36","Česko","CZ","39.76"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 37. týden 2023","2023-W37","Česko","CZ","39.85"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 38. týden 2023","2023-W38","Česko","CZ","40.31"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 39. týden 2023","2023-W39","Česko","CZ","40.46"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 40. týden 2023","2023-W40","Česko","CZ","40.43"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 41. týden 2023","2023-W41","Česko","CZ","40.11"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 42. týden 2023","2023-W42","Česko","CZ","39.5"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 43. týden 2023","2023-W43","Česko","CZ","39.09"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 44. týden 2023","2023-W44","Česko","CZ","38.84"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 45. týden 2023","2023-W45","Česko","CZ","38.83"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 46. týden 2023","2023-W46","Česko","CZ","38.36"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 47. týden 2023","2023-W47","Česko","CZ","38.01"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 48. týden 2023","2023-W48","Česko","CZ","37.51"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 49. týden 2023","2023-W49","Česko","CZ","36.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 50. týden 2023","2023-W50","Česko","CZ","36.58"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 51. týden 2023","2023-W51","Česko","CZ","35.97"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 01. týden 2024","2024-W01","Česko","CZ","35.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 02. týden 2024","2024-W02","Česko","CZ","36.02"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 03. týden 2024","2024-W03","Česko","CZ","36.07"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 04. týden 2024","2024-W04","Česko","CZ","36.36"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 05. týden 2024","2024-W05","Česko","CZ","36.66"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 06. týden 2024","2024-W06","Česko","CZ","37.1"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 07. týden 2024","2024-W07","Česko","CZ","37.44"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 08. týden 2024","2024-W08","Česko","CZ","38.21"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 09. týden 2024","2024-W09","Česko","CZ","38.37"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 10. týden 2024","2024-W10","Česko","CZ","38.4"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 11. týden 2024","2024-W11","Česko","CZ","38.5"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 12. týden 2024","2024-W12","Česko","CZ","38.42"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 13. týden 2024","2024-W13","Česko","CZ","38.5"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 14. týden 2024","2024-W14","Česko","CZ","39.01"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 15. týden 2024","2024-W15","Česko","CZ","39.66"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 16. týden 2024","2024-W16","Česko","CZ","40.03"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 17. týden 2024","2024-W17","Česko","CZ","40.39"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 18. týden 2024","2024-W18","Česko","CZ","40.4"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 19. týden 2024","2024-W19","Česko","CZ","40.22"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 20. týden 2024","2024-W20","Česko","CZ","39.7"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 21. týden 2024","2024-W21","Česko","CZ","39.27"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 22. týden 2024","2024-W22","Česko","CZ","39"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 23. týden 2024","2024-W23","Česko","CZ","38.59"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 24. týden 2024","2024-W24","Česko","CZ","37.91"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 25. týden 2024","2024-W25","Česko","CZ","37.67"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 26. týden 2024","2024-W26","Česko","CZ","37.98"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 27. týden 2024","2024-W27","Česko","CZ","38.26"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 28. týden 2024","2024-W28","Česko","CZ","38.51"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 29. týden 2024","2024-W29","Česko","CZ","38.69"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 30. týden 2024","2024-W30","Česko","CZ","38.37"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 31. týden 2024","2024-W31","Česko","CZ","38.15"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 32. týden 2024","2024-W32","Česko","CZ","38"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 33. týden 2024","2024-W33","Česko","CZ","37.76"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 34. týden 2024","2024-W34","Česko","CZ","37.61"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 35. týden 2024","2024-W35","Česko","CZ","37.24"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 36. týden 2024","2024-W36","Česko","CZ","36.95"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 37. týden 2024","2024-W37","Česko","CZ","36.24"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 38. týden 2024","2024-W38","Česko","CZ","35.44"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 39. týden 2024","2024-W39","Česko","CZ","35.3"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 40. týden 2024","2024-W40","Česko","CZ","35.2"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 41. týden 2024","2024-W41","Česko","CZ","35.15"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 42. týden 2024","2024-W42","Česko","CZ","35.51"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 43. týden 2024","2024-W43","Česko","CZ","35.77"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 44. týden 2024","2024-W44","Česko","CZ","35.86"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 45. týden 2024","2024-W45","Česko","CZ","35.8"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 46. týden 2024","2024-W46","Česko","CZ","35.76"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 47. týden 2024","2024-W47","Česko","CZ","35.68"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 48. týden 2024","2024-W48","Česko","CZ","35.68"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 49. týden 2024","2024-W49","Česko","CZ","35.74"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 50. týden 2024","2024-W50","Česko","CZ","35.72"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 51. týden 2024","2024-W51","Česko","CZ","35.62"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 02. týden 2025","2025-W02","Česko","CZ","35.8"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 03. týden 2025","2025-W03","Česko","CZ","36"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 04. týden 2025","2025-W04","Česko","CZ","36.51"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 05. týden 2025","2025-W05","Česko","CZ","36.81"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 06. týden 2025","2025-W06","Česko","CZ","36.51"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 07. týden 2025","2025-W07","Česko","CZ","36.46"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 08. týden 2025","2025-W08","Česko","CZ","36.52"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 09. týden 2025","2025-W09","Česko","CZ","36.51"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 10. týden 2025","2025-W10","Česko","CZ","36.17"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 11. týden 2025","2025-W11","Česko","CZ","35.59"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 12. týden 2025","2025-W12","Česko","CZ","35"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 13. týden 2025","2025-W13","Česko","CZ","34.71"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 14. týden 2025","2025-W14","Česko","CZ","34.8"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 15. týden 2025","2025-W15","Česko","CZ","35.02"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 16. týden 2025","2025-W16","Česko","CZ","34.5"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 17. týden 2025","2025-W17","Česko","CZ","34.25"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 18. týden 2025","2025-W18","Česko","CZ","34.18"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 19. týden 2025","2025-W19","Česko","CZ","34.02"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 20. týden 2025","2025-W20","Česko","CZ","33.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 21. týden 2025","2025-W21","Česko","CZ","33.92"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 22. týden 2025","2025-W22","Česko","CZ","33.91"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 23. týden 2025","2025-W23","Česko","CZ","33.89"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 24. týden 2025","2025-W24","Česko","CZ","33.89"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 25. týden 2025","2025-W25","Česko","CZ","33.95"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 26. týden 2025","2025-W26","Česko","CZ","34.87"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 27. týden 2025","2025-W27","Česko","CZ","34.9"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 28. týden 2025","2025-W28","Česko","CZ","34.73"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 29. týden 2025","2025-W29","Česko","CZ","34.7"
"Průměrná cena pohonných hmot (Kč/litr)","6621T","Benzin automobilový bezolovnatý Natural 95 oktanu","0722201"," 30. týden 2025","2025-W30","Česko","CZ","34.69"
